method,d_kl
standard,0.11047470642797401
steam,0.061456859007105194
standard,0.21145124210170105
steam,0.05037681380263862
standard,0.14932444839247283
steam,0.09494711515085015
standard,0.24255532154393328
steam,0.06117323777785847
standard,0.16394452923447111
steam,0.08616945015030224
