method,d_kl
standard,0.18831522284887373
steam,0.030669099479928734
standard,21.221404542652962
steam,0.010798343231298744
standard,0.40434383389491674
steam,0.019061489832256116
standard,0.1559686925759487
steam,0.01762351012969348
standard,0.1808470740217752
steam,0.00946990028786717
