method,f,c,d,u_pehe,u_policy,u_int
standard,0.689335118250781,0.35448460508701474,0.807165735113452,3.971446990966797,0.21476510067114093,0.12113265574294683
seq_new,0.6471218206157966,0.3197679607318161,0.9210372803266541,1.720682442188263,0.9530201342281879,0.04691583582151511
standard,0.7434181169120928,0.3715305667112895,0.8020701783738253,3.9808095693588257,0.44966442953020136,-0.3094581023988758
seq_new,0.7050423917893798,0.3363676929941991,0.9002721864812961,1.728102058172226,0.9463087248322147,0.6716883146488716
standard,0.6190986166889781,0.34163319946452475,0.8641698689272528,3.730148434638977,0.20134228187919462,-0.07681443030815438
seq_new,0.5797411869701027,0.24426595269968765,0.84489277573881,1.5940867960453033,0.959731543624161,0.05693488475777053
standard,0.672735385988398,0.3230700580098169,0.8194011744966359,4.191735863685608,0.3288590604026846,-0.3071244671405563
seq_new,0.7455600178491746,0.35903614457831334,0.8965745230968685,1.8262189030647278,0.9395973154362416,-0.3728186900163325
