method,f,c,d,u_pehe,u_policy,u_int
standard,0.5848535332500346,0.47986949881993624,0.8986640402026974,5.415981590747833,0.509375,-0.35475142112170566
seq_new,0.8177981396640288,0.5042065805914202,0.9471782123502323,2.2439355850219727,0.9645833333333333,0.402023574011251
standard,0.8602526724975704,0.5063168124392614,0.9224651317659828,4.623073250055313,0.515625,0.32978931917300236
seq_new,0.639677911981119,0.4967652367069276,0.965149253759644,2.0641419887542725,0.9583333333333334,0.1665110676218397
standard,0.7908788004997918,0.5062473969179508,0.9051913434566052,4.25351145863533,0.5625,0.047956600223610646
seq_new,0.5737054005275579,0.5009579341940859,0.956945440673564,2.1389620304107666,0.9604166666666667,-0.4100823807776131
standard,0.8486047480216576,0.4884353741496599,0.9224449194455702,4.453871965408325,0.6416666666666667,0.20871069104832093
seq_new,0.7837567680133278,0.49414133000138827,0.9705314955260899,1.9431414753198624,0.9489583333333333,0.2138640885103365
standard,0.8061224489795918,0.504775787866167,0.9099515700431259,4.160194307565689,0.596875,0.1715146617475844
seq_new,0.4666666666666667,0.2440649729279465,0.9604062817564814,1.8428429812192917,0.9635416666666666,-0.05417636423512433
standard,0.8409135082604471,0.5140219353047342,0.9194153179076988,3.8917979896068573,0.6166666666666667,0.3439569456878564
seq_new,0.793738719977787,0.5192975149243371,0.9389878191949582,1.9996360093355179,0.9635416666666666,0.5105867431345913
standard,0.8386644453699847,0.11797862001943626,0.8894621980571945,4.220968663692474,0.778125,0.332913742882242
seq_new,0.9038063642064849,0.5110648340969041,0.9772001818116962,1.8438460379838943,0.9645833333333333,0.33839377987219227
standard,0.9094290214326407,0.5127446897126198,0.8971640813749048,4.226778268814087,0.734375,-0.12193534417360165
seq_new,0.6451200888518673,0.46569484936831873,0.9642619462866818,1.7654401361942291,0.9572916666666667,0.007696829347140977
standard,0.8875468554768846,0.48275718450645566,0.9161188446633501,3.9091375172138214,0.5614583333333333,0.2179820558148633
seq_new,0.7263917812022769,0.49609884770234625,0.9697007834791405,2.308192938566208,0.9625,-0.2312487959053812
standard,0.8626960988477024,0.4984589754269054,0.9276274568274467,4.677691102027893,0.48541666666666666,0.31682843609891526
seq_new,0.7210329029571012,0.48238234069137864,0.9677357848344204,1.6763306707143784,0.9635416666666666,-0.19564827059575352
