method,d_kl
standard,0.009603842741358786
steam,0.019571707111688194
standard,0.021952702673468594
steam,0.009077895874720328
standard,0.021266815399075805
steam,0.008854092162481054
standard,0.012163319776813727
steam,0.01002599340922751
standard,0.02493631104885328
steam,0.012265407171579076
