method,d_kl
standard,0.12340267304197619
steam,0.027174870099902233
standard,0.16344547238050758
steam,0.013041171051980561
standard,0.15992054853868518
steam,0.02315677459155377
standard,0.10547590317854219
steam,0.021020719349316118
standard,0.09818165561861439
steam,0.02006885960719281
