method,d_kl
standard,0.019911008664430914
steam,0.009762695235203669
standard,0.0401462850999065
steam,0.009941689730290906
standard,0.012930189249377276
steam,0.009403049998540976
standard,0.04800495942086461
steam,0.013122512248526806
standard,0.030893284342490238
steam,0.015240111196533408
